,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,Category,Score
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020 10:30,photo,Studying,neutral,20,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021 9:27,photo,Studying,negative,12,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021 3:59,photo,Studying,negative,5,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020 17:01,photo,healthy eating,negative,10,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020 0:11,photo,healthy eating,positive,45,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 18:17,photo,healthy eating,neutral,35,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021 4:53,photo,healthy eating,negative,15,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021 10:40,photo,healthy eating,negative,5,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 21:15,photo,healthy eating,negative,0,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021 1:00,photo,healthy eating,negative,5,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021 12:17,photo,healthy eating,positive,50,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 16:26,photo,healthy eating,positive,65,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021 3:02,photo,healthy eating,positive,60,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020 10:52,photo,healthy eating,neutral,20,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 7:59,photo,healthy eating,neutral,35,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020 11:15,photo,healthy eating,positive,65,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021 5:56,photo,healthy eating,positive,50,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020 19:13,photo,healthy eating,negative,5,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020 16:41,photo,healthy eating,positive,75,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021 15:36,photo,healthy eating,positive,72,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020 8:48,photo,healthy eating,negative,15,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020 14:06,photo,healthy eating,positive,70,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020 12:15,photo,healthy eating,positive,72,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021 1:27,photo,healthy eating,positive,30,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020 0:09,photo,healthy eating,positive,60,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021 7:56,photo,healthy eating,positive,50,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020 23:37,photo,healthy eating,negative,5,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021 2:42,photo,healthy eating,positive,30,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021 8:38,photo,healthy eating,negative,10,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020 8:00,photo,healthy eating,neutral,35,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020 16:57,photo,healthy eating,positive,60,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021 23:58,photo,healthy eating,positive,75,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020 16:47,photo,healthy eating,positive,70,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020 19:16,photo,healthy eating,negative,5,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020 22:46,photo,healthy eating,negative,10,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021 23:41,photo,healthy eating,negative,10,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020 0:33,photo,healthy eating,positive,70,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021 10:13,photo,healthy eating,positive,30,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,10/29/2020 19:41,photo,healthy eating,positive,65,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,5/14/2021 12:47,photo,healthy eating,positive,60,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020 5:40,photo,healthy eating,negative,0,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,8/7/2020 4:09,photo,healthy eating,positive,72,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/23/2020 21:19,photo,healthy eating,positive,72,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,11/14/2020 23:53,photo,healthy eating,positive,72,,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,11/12/2020 4:54,photo,healthy eating,positive,30,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,4/3/2021 12:17,photo,technology,negative,12,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020 22:15,photo,technology,positive,70,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,10/27/2020 5:45,photo,technology,positive,60,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,10/15/2020 9:11,photo,technology,negative,15,,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,5/7/2021 9:16,photo,technology,positive,60,,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,9/16/2020 8:39,photo,technology,negative,5,,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,10/29/2020 15:38,photo,technology,neutral,20,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,5/24/2021 18:03,video,food,negative,15,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2/25/2021 20:02,GIF,cooking,positive,30,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5/2/2021 3:45,GIF,cooking,negative,5,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,1/28/2021 8:49,GIF,cooking,positive,70,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2/15/2021 13:06,GIF,cooking,neutral,35,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,11/4/2020 21:25,GIF,cooking,negative,10,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,6/23/2020 22:12,GIF,cooking,positive,65,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2/16/2021 4:01,GIF,cooking,positive,70,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,1/3/2021 8:44,GIF,cooking,positive,30,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,11/25/2020 12:45,GIF,cooking,positive,72,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,5/22/2021 21:03,GIF,cooking,positive,50,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,1/18/2021 13:39,GIF,cooking,positive,70,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,1/6/2021 0:35,GIF,cooking,neutral,20,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/14/2021 14:33,GIF,cooking,positive,72,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,5/27/2021 15:21,GIF,cooking,negative,12,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,7/21/2020 2:12,GIF,cooking,neutral,35,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,5/26/2021 6:09,GIF,cooking,negative,10,,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2/25/2021 3:16,GIF,cooking,negative,10,,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,12/7/2020 22:50,GIF,cooking,positive,45,,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,9/1/2020 21:18,GIF,cooking,neutral,35,,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/10/2021 22:07,GIF,cooking,positive,72,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2/12/2021 16:37,video,dogs,positive,70,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,4/28/2021 15:22,video,dogs,positive,60,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/24/2021 0:38,video,dogs,positive,45,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,3/18/2021 1:53,video,dogs,negative,12,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021 7:21,video,dogs,negative,0,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,12/23/2020 4:11,video,dogs,positive,60,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5/21/2021 7:23,video,dogs,negative,5,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,3/28/2021 23:25,video,dogs,positive,50,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,9/16/2020 7:33,video,dogs,neutral,35,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/6/2021 5:23,video,dogs,positive,60,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/13/2021 23:35,video,dogs,negative,0,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,9/6/2020 22:35,video,dogs,positive,70,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/24/2020 9:31,video,dogs,positive,30,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2/7/2021 21:39,video,dogs,negative,5,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/21/2021 18:28,video,dogs,positive,45,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2/27/2021 0:21,video,dogs,negative,10,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,8/22/2020 12:06,video,dogs,negative,12,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,8/3/2020 6:29,video,dogs,positive,70,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,6/4/2021 4:57,video,dogs,positive,70,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,10/21/2020 9:07,video,dogs,positive,75,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,12/26/2020 19:46,video,dogs,negative,10,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,3/2/2021 22:47,video,dogs,negative,15,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,3/31/2021 9:48,video,dogs,neutral,20,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/14/2021 13:44,video,dogs,positive,30,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,12/27/2020 17:04,video,dogs,negative,15,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2/11/2021 3:51,video,dogs,negative,15,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/7/2020 19:07,video,dogs,positive,30,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/26/2020 5:27,video,dogs,positive,30,,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,9/26/2020 18:43,video,dogs,negative,12,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11/25/2020 13:01,video,dogs,negative,15,,,
161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,7/11/2020 5:51,video,dogs,positive,60,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/19/2021 16:23,video,dogs,positive,60,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/11/2020 18:31,video,dogs,positive,30,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11/2/2020 20:15,video,dogs,positive,60,,,
165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,10/1/2020 3:35,video,dogs,positive,70,,,
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2/11/2021 20:10,video,dogs,negative,0,,,
168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,10/17/2020 11:46,video,dogs,negative,5,,,
169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,8/9/2020 19:41,video,dogs,positive,50,,,
170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,2/1/2021 2:40,video,dogs,positive,65,,,
171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,1/30/2021 9:36,video,dogs,positive,72,,,
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,3/31/2021 15:24,video,technology,positive,70,,,
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2/5/2021 17:00,video,technology,positive,75,,,
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2/19/2021 16:29,video,technology,positive,60,,,
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,7/25/2020 0:00,video,technology,negative,12,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,7/13/2020 2:38,photo,soccer,positive,72,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,1/13/2021 13:11,photo,soccer,neutral,20,,,
180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,1/2/2021 16:46,photo,soccer,negative,12,,,
181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,11/26/2020 2:25,photo,soccer,positive,45,,,
182,0bedca96-fb76-4287-a83c-17330ed39cce,want,8/25/2020 19:18,photo,soccer,positive,70,,,
183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,2/1/2021 0:15,photo,soccer,negative,5,,,
184,0bedca96-fb76-4287-a83c-17330ed39cce,love,6/4/2021 14:36,photo,soccer,positive,65,,,
185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,8/19/2020 13:38,photo,soccer,positive,72,,,
186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,4/22/2021 2:08,photo,soccer,positive,70,,,
188,0bedca96-fb76-4287-a83c-17330ed39cce,like,8/15/2020 18:16,photo,soccer,positive,50,,,
189,0bedca96-fb76-4287-a83c-17330ed39cce,love,11/26/2020 13:42,photo,soccer,positive,65,,,
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,4/14/2021 0:56,photo,public speaking,positive,70,,,
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,7/21/2020 21:27,photo,public speaking,neutral,20,,,
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,3/29/2021 6:57,photo,public speaking,negative,10,,,
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,5/20/2021 16:11,photo,public speaking,positive,70,,,
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,11/2/2020 6:09,photo,public speaking,positive,50,,,
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,10/24/2020 15:37,photo,public speaking,neutral,20,,,
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/7/2020 14:42,photo,public speaking,positive,60,,,
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,3/4/2021 2:46,photo,public speaking,negative,15,,,
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,1/7/2021 14:08,photo,public speaking,positive,72,,,
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,3/27/2021 4:56,photo,public speaking,positive,50,,,
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,11/21/2020 21:25,photo,public speaking,positive,45,,,
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,8/22/2020 1:25,photo,public speaking,positive,70,,,
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,6/14/2021 11:45,photo,public speaking,neutral,35,,,
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,7/15/2020 19:28,photo,public speaking,negative,12,,,
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,3/21/2021 14:39,photo,public speaking,positive,45,,,
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,4/7/2021 3:15,photo,public speaking,positive,75,,,
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,4/24/2021 6:56,photo,public speaking,positive,70,,,
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,9/30/2020 14:05,photo,public speaking,positive,60,,,
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/21/2021 7:08,photo,public speaking,negative,15,,,
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/31/2021 13:48,photo,public speaking,negative,15,,,
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,12/24/2020 3:24,photo,public speaking,negative,5,,,
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,5/27/2021 1:44,photo,public speaking,negative,0,,,
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2/13/2021 4:14,photo,public speaking,negative,0,,,
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,7/14/2020 4:36,photo,public speaking,positive,72,,,
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,7/15/2020 16:03,photo,public speaking,negative,10,,,
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,10/8/2020 17:23,photo,public speaking,positive,50,,,
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,11/12/2020 23:55,photo,public speaking,positive,60,,,
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,7/9/2020 8:58,photo,public speaking,positive,45,,,
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,6/26/2020 23:45,photo,public speaking,positive,72,,,
223,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,11/20/2020 13:18,photo,public speaking,negative,12,,,
224,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,5/29/2021 21:34,photo,public speaking,positive,50,,,
225,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2/22/2021 2:48,photo,public speaking,neutral,20,,,
226,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,1/7/2021 18:39,photo,public speaking,negative,15,,,
227,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,10/1/2020 15:10,photo,public speaking,positive,72,,,
228,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,11/21/2020 8:24,photo,public speaking,negative,5,,,
229,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,4/15/2021 13:50,photo,public speaking,negative,15,,,
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,12/1/2020 15:06,photo,public speaking,positive,70,,,
232,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,11/7/2020 0:47,photo,public speaking,negative,15,,,
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,6/30/2020 13:08,GIF,science,positive,75,,,
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,8/4/2020 3:09,GIF,science,positive,60,,,
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/28/2020 7:01,GIF,science,positive,45,,,
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,10/25/2020 2:39,GIF,science,positive,75,,,
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,7/5/2020 3:37,GIF,science,negative,12,,,
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,4/28/2021 15:16,GIF,science,positive,70,,,
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,1/31/2021 0:54,GIF,science,neutral,20,,,
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,8/29/2020 11:37,GIF,science,positive,72,,,
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,10/15/2020 12:09,GIF,science,positive,45,,,
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,10/31/2020 21:46,GIF,science,negative,15,,,
245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,10/12/2020 9:40,GIF,science,positive,60,,,
246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,12/12/2020 12:22,GIF,science,positive,70,,,
247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,1/9/2021 16:37,GIF,science,positive,50,,,
248,5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,8/23/2020 4:39,GIF,science,negative,5,,,
249,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,12/22/2020 4:20,GIF,science,positive,65,,,
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,11/7/2020 8:49,GIF,science,negative,0,,,
251,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,4/17/2021 22:45,GIF,science,positive,72,,,
252,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,4/21/2021 0:21,GIF,science,negative,15,,,
254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,7/6/2020 2:08,GIF,science,positive,45,,,
255,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,3/26/2021 5:42,GIF,science,positive,65,,,
258,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,9/13/2020 11:24,GIF,tennis,positive,70,,,
259,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,1/28/2021 21:06,GIF,tennis,negative,12,,,
260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,1/20/2021 1:15,GIF,tennis,neutral,20,,,
261,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,9/3/2020 1:15,GIF,tennis,positive,75,,,
262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,1/9/2021 10:46,GIF,tennis,negative,12,,,
263,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,9/19/2020 22:29,GIF,tennis,neutral,20,,,
264,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,5/29/2021 7:21,GIF,tennis,positive,75,,,
265,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,5/15/2021 19:04,GIF,tennis,negative,12,,,
266,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,8/15/2020 12:27,GIF,tennis,positive,45,,,
268,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2/15/2021 3:32,GIF,tennis,neutral,35,,,
269,0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,3/29/2021 19:03,GIF,tennis,negative,15,,,
